"abbrev_state","code_school","name_school","address","phone_number","geom","abrev","long","lat"
"691","RO","11","IFRO - CAMPUS COLORADO DO OESTE","BR 435 KM 63, S/Nº. CAIXA POSTAL 51. ZONA RURAL. 76993-000 Colorado do Oeste - RO.","(69) 33417602",c(-60.4862046, -13.1142503),"IF",-60.4862046,-13.1142503
"1258","RO","11","IFRO - CAMPUS GUAJARA-MIRIM","AVENIDA 15 DE NOVEMBRO, SN PLANALTO. 76850-000 Guajará-Mirim - RO.","(69) 99122682",c(-65.3156319446862, -10.761532774195),"IF",-65.3156319446862,-10.761532774195
"1293","RO","11","IFRO - CAMPUS JARU","AVENIDA VEREADOR OTAVIANO PEREIRA NETO, 874 SETOR 2. 76890-000 Jaru - RO.","(69) 999182512",c(-62.4524526, -10.4358767),"IF",-62.4524526,-10.4358767
"1392","RO","11","IFRO - CAMPUS JI-PARANA","RUA RIO AMAZONAS, 151 JARDIM DOS MIGRANTES. 76900-730 Ji-Paraná - RO.","(69) 21836907",c(-61.9681324996054, -10.8819235162809),"IF",-61.9681324996054,-10.8819235162809
"1404","RO","11","IFRO - CAMPUS VILHENA","BR 174 KM03, 4334 ZONA URBANA. 76982-270 Vilhena - RO.","(69) 21010703",c(-60.1190913, -12.7042354),"IF",-60.1190913,-12.7042354
"1405","RO","11","IFRO - CAMPUS PORTO VELHO ZONA NORTE","AVENIDA GOVERNADOR JORGE TEIXEIRA, 3146 INDUSTRIAL. 76821-002 Porto Velho - RO.","(69) 21823805",c(-63.8890624511987, -8.74117073602974),"IF",-63.8890624511987,-8.74117073602974
"1407","RO","11","IFRO - CAMPUS ARIQUEMES","AREA RURAL, S/N RO 257 KM 13. AREA RURAL DE ARIQUEMES. 76878-899 Ariquemes - RO.","(69) 999182508",c(-62.9625766666667, -9.94997666666667),"IF",-62.9625766666667,-9.94997666666667
"1408","RO","11","IFRO - CAMPUS PORTO VELHO CALAMA","AVENIDA CALAMA, 4985 LOTE 994, QUADRA 169. FLODOALDO PONTES PINTO. 76820-441 Porto Velho - RO.","(69) 21828901",c(-63.8715495, -8.7450971),"IF",-63.8715495,-8.7450971
"1409","RO","11","IFRO - CAMPUS CACOAL","BR 364 KM 228 LOTE 2A, S/N ZONA RURAL. 76960-970 Cacoal - RO.","(69) 34432445",c(-61.3798145, -11.4795691),"IF",-61.3798145,-11.4795691
"2860","AC","12","IFAC - CAMPUS CRUZEIRO DO SUL","ESTRADA DA APADEQ, 1192 RML FAZENDA MODELO. NOVA OLINDA. 69980-000 Cruzeiro do Sul - AC.","(68) 21066842",c(-72.7413246, -7.5817149),"IF",-72.7413246,-7.5817149
"2861","AC","12","IFAC - CAMPUS SENA MADUREIRA","FRANCISCA SOUZA DA SILVA, 318 GETULIO NUNES SAMPAIO. 69940-000 Sena Madureira - AC.","(68) 36123806",c(-68.6797884, -9.0820318),"IF",-68.6797884,-9.0820318
"2862","AC","12","IFAC - CAMPUS XAPURI","CORONEL BRANDAO, 1622 CENTRO. 69930-000 Xapuri - AC.","(68) 35422047",c(-68.49409908, -10.66080029),"IF",-68.49409908,-10.66080029
"2863","AC","12","IFAC - CAMPUS RIO BRANCO","AVENIDA BRASIL, 920 CONJUNTO XAVIER MAIA. 69903-068 Rio Branco - AC.","(68) 21065910",c(-67.8178746, -9.9310661),"IF",-67.8178746,-9.9310661
"2922","AC","12","IFAC - CAMPUS AVANCADO RIO BRANCO BAIXADA DO SOL","RUA RIO GRANDE DO SUL, 2600 AEROPORTO VELHO. 69911-030 Rio Branco - AC.","(68) 32246816",c(-67.82242095, -9.984810486),"IF",-67.82242095,-9.984810486
